img1;img2;all_images;product-code;product-title;sizes;price;colors
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612177/l_20202-0wbt14z1-krx_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612177/l_20202-0wbt14z1-krx_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612177/l_20202-0wbt14z1-krx_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612177/l_20202-0wbt14z1-krx_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612177/l_20202-0wbt14z1-krx_z.jpg;0WBT14Z1 - KRX - Koyu Pembe;Kız Bebek Baskılı Tulum;0-1 Ay,1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;29,99 TL;Koyu Pembe
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611399/l_20202-0wbs62z1-847_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611399/l_20202-0wbs62z1-847_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611399/l_20202-0wbs62z1-847_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611399/l_20202-0wbs62z1-847_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611399/l_20202-0wbs62z1-847_z.jpg;0WBS62Z1 - 847 - Kar Melanj;Erkek Bebek Baskılı Tulum;0-1 Ay,1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;29,99 TL;Kar Melanj
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4036628/l_20201-0so248z1-csv_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4036628/l_20201-0so248z1-csv_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4036628/l_20201-0so248z1-csv_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4036628/l_20201-0so248z1-csv_c.jpg;0SO248Z1 - CSV - Mavi;Erkek Bebek Çizgili Pamuklu Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Mavi
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611379/l_20202-0wbs60z1-hna_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611379/l_20202-0wbs60z1-hna_d.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611379/l_20202-0wbs60z1-hna_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611379/l_20202-0wbs60z1-hna_d.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4611379/l_20202-0wbs60z1-hna_z.jpg;0WBS60Z1 - HNA - Koyu Mavi;Erkek Bebek Baskılı Tulum;0-1 Ay,1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;29,99 TL;Koyu Mavi
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023841/l_20201-0sn361z1-lu7_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023841/l_20201-0sn361z1-lu7_d.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023841/l_20201-0sn361z1-lu7_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023841/l_20201-0sn361z1-lu7_d.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023841/l_20201-0sn361z1-lu7_z.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023841/l_20201-0sn361z1-lu7_z1.jpg;0SN361Z1 - LU7 - Beyaz Baskılı;Erkek Bebek Baskılı Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Beyaz Baskılı
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3942909/l_20201-0s9821z1-lqq_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3942909/l_20201-0s9821z1-lqq_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3942909/l_20201-0s9821z1-lqq_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3942909/l_20201-0s9821z1-lqq_b.jpg;0S9821Z1 - LQQ - Mavi Baskılı;Kız Bebek Desenli Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay;;Mavi Baskılı
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4024235/l_20201-0sn405z1-q8v_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4024235/l_20201-0sn405z1-q8v_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4024235/l_20201-0sn405z1-q8v_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4024235/l_20201-0sn405z1-q8v_b.jpg;0SN405Z1 - Q8V - Mat İndigo;Erkek Bebek Pamuklu Salopet;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Mat İndigo
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023972/l_20201-0sn386z1-lfy_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023972/l_20201-0sn386z1-lfy_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023972/l_20201-0sn386z1-lfy_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023972/l_20201-0sn386z1-lfy_b.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4023972/l_20201-0sn386z1-lfy_z.jpg;0SN386Z1 - LFY - Gri Çizgili;Erkek Bebek Çizgili Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Gri Çizgili
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612172/l_20202-0wbt12z1-fzp_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612172/l_20202-0wbt12z1-fzp_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612172/l_20202-0wbt12z1-fzp_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612172/l_20202-0wbt12z1-fzp_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612172/l_20202-0wbt12z1-fzp_z.jpg;0WBT12Z1 - FZP - Pembe;Kız Bebek Baskılı Tulum;0-1 Ay,1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;29,99 TL;Pembe
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4280157/l_20201-0ss151z1-ct3_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4280157/l_20201-0ss151z1-ct3_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4280157/l_20201-0ss151z1-ct3_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4280157/l_20201-0ss151z1-ct3_c.jpg;0SS151Z1 - CT3 - Gri Melanj;Erkek Bebek Yazı Baskılı Pamuklu Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Gri Melanj
